Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,inst22,num_academia,num_company
604,Sketch and Customize: A Counterfactual Story Generator, CAS Key Laboratory of Network Data Science and Technology,Institute of Computing Technology,University of Chinese Academy of Sciences, CAS Key Laboratory of Network Data Science and Technology,Institute of Computing Technology,University of Chinese Academy of Sciences, CAS Key Laboratory of Network Data Science and Technology,Institute of Computing Technology,University of Chinese Academy of Sciences, Tencent AI La, CAS Key Laboratory of Network Data Science and Technology,Institute of Computing Technology,University of Chinese Academy of Sciences, CAS Key Laboratory of Network Data Science and Technology,Institute of Computing Technology,University of Chinese Academy of Sciences,,,,,,,1.0,4.0
605,Theoretical Analyses of Multi-Objective Evolutionary Algorithms on Multi-Modal Objectives,Institut Polytechnique de Paris,Southern University of Science and Technology,,,,,,,,,,,,,,,,,,,,,2.0,0.0
606,Liquid Time-Constant Networks,Massachusetts Institute of Technology,TU Wien,Institute of Science and Technology Austria,Massachusetts Institute of Technology,Massachusetts Institute of Technology,TU Wien,,,,,,,,,,,,,,,,,6.0,0.0
607,Improving Robustness to Model Inversion Attacks via Mutual Information Regularization,Harvard University,University of Illinois Urbana-Champaign,,,,,,,,,,,,,,,,,,,,,2.0,0.0
608,Evolutionary Game Theory Squared: Evolving Agents in Endogenously Evolving Zero-Sum Games,Singapore University of Technology and Design,University of Washington,Singapore University of Technology and Design,Singapore University of Technology and Design,University of Washington,,,,,,,,,,,,,,,,,,5.0,0.0
609,Human Uncertainty Inference via Deterministic Ensemble Neural Networks,Korea Advanced Institute of Science and Technology,Korea Advanced Institute of Science and Technology,Korea Advanced Institute of Science and Technology,Korea Advanced Institute of Science and Technology,,,,,,,,,,,,,,,,,,,4.0,0.0
610,Hierarchical Graph Capsule Network,The University of Texas at Arlington, Tencent AI La, Tencent AI La,The University of Texas at Arlington,The University of Texas at Arlington,The University of Texas at Arlington,The University of Texas at Arlington,Tencent AI La,,,,,,,,,,,,,,,5.0,0.0
611,RSPNet: Relative Speed Perception for Unsupervised Video Representation Learning,South China University of Technology, Pazhou Laborator,South China University of Technology, Baidu Inc., Baidu Inc.,South China University of Technology, Baidu Inc.,South China University of Technology,Ministry of Education,,,,,,,,,,,,,,4.0,3.0
612,Faster and Better Simple Temporal Problems,University of Verona,University of Trento,University of Verona,University of Verona,,,,,,,,,,,,,,,,,,,4.0,0.0
613,Symbolic Music Generation with Transformer-GANs, Amazon Web Service, Amazon Web Service, Amazon Web Service, Amazon Web Service, Amazon Web Service, Amazon Web Service, Amazon Web Service,Carnegie Mellon University, Amazon Web Service,,,,,,,,,,,,,,1.0,0.0
614,Synchronous Interactive Decoding for Multilingual Neural Machine Translation,Institute of Automation,University of Chinese Academy of Sciences,Institute of Automation,University of Chinese Academy of Sciences," Beijing Fanyu Technology Co., Ltd, Beijing 100083, Chin",Institute of Automation,University of Chinese Academy of Sciences,Institute of Automation,University of Chinese Academy of Sciences,Institute of Automation,University of Chinese Academy of Sciences,,,,,,,,,,,,5.0,1.0
615,Scalable Affinity Propagation for Massive Datasets,University of Tsukuba,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
616,Differentially Private Link Prediction with Protected Connections,Indian Institute of Technology Bombay,Indian Institute of Technology Bombay,,,,,,,,,,,,,,,,,,,,,2.0,0.0
617,Meta Label Correction for Noisy Label Learning,Microsoft Research (United Kingdom),Microsoft Research (United Kingdom),Microsoft Research (United Kingdom),,,,,,,,,,,,,,,,,,,,0.0,3.0
618,Rethinking Bi-Level Optimization in Neural Architecture Search: A Gibbs Sampling Perspective,IBM Research - China,Shanghai Jiao Tong University,Shanghai Jiao Tong University, IBM Syste,Shanghai Jiao Tong University,IBM Research - China,,,,,,,,,,,,,,,,,5.0,0.0
619,Learned BI-Resolution Image Coding Using Generalized Octave Convolutions,Simon Fraser University,Simon Fraser University,Google (United States), Tencent Technologie,,,,,,,,,,,,,,,,,,,2.0,1.0
620,RpBERT: A Text-image Relation Propagation-based BERT Model for Multimodal NER,Zhejiang University,Zhejiang University,Zhejiang University,Tsinghua University,Zhejiang University,Zhejiang University,Zhejiang University,,,,,,,,,,,,,,,,7.0,0.0
621,Revisiting Consistent Hashing with Bounded Loads,Rice University,Rice University,Rice University,,,,,,,,,,,,,,,,,,,,3.0,0.0
622,BERT & Family Eat Word Salad: Experiments with Text Understanding,University of Utah,University of Utah,University of Utah,,,,,,,,,,,,,,,,,,,,3.0,0.0
623,Differential Spectral Normalization (DSN) for PDE Discovery,Chinese University of Hong Kong,Chinese University of Hong Kong,Chinese University of Hong Kong,Chinese University of Hong Kong,,,,,,,,,,,,,,,,,,,4.0,0.0
624,One-shot Face Reenactment Using Appearance Adaptive Normalization, NetEase Fuxi AI La, NetEase Fuxi AI La,Zhejiang University,Beijing Institute of Technology,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,,,,,,,,,,,,,,,6.0,0.0
625,Bayesian Optimized Monte Carlo Planning,Stanford University,Stanford University,University of Colorado Boulder,Stanford University,Stanford University,,,,,,,,,,,,,,,,,,5.0,0.0
626,Document-Level Relation Extraction with Adaptive Thresholding and Localized Context Pooling,University of Southern California,Ames Research Center,Stanford University,Ames Research Center,,,,,,,,,,,,,,,,,,,4.0,0.0
627,Unanswerable Question Correction in Question Answering over Personal Knowledge Base,National Taiwan University,National Chengchi University,Joint Research Center,National Taiwan University,Joint Research Center,,,,,,,,,,,,,,,,,,5.0,0.0
628,Relaxed Clustered Hawkes Process for Procrastination Modeling in MOOCs,"University at Albany, State University of New York","University at Albany, State University of New York","University at Albany, State University of New York","University at Albany, State University of New York",,,,,,,,,,,,,,,,,,,4.0,0.0
629,Time to Transfer: Predicting and Evaluating Machine-Human Chatting Handoff,Wuhan University,Alibaba Group (China),Alibaba Group (China),Zhejiang University,Wuhan University,Alibaba Group (China),Zhejiang University,Indiana University Bloomington,Wuhan University,,,,,,,,,,,,,,6.0,3.0
630,Knowledge Refinery: Learning from Decoupled Label,Tsinghua University,Tsinghua University,Tsinghua University,Peng Cheng Laboratory,Chinese University of Hong Kong,Hong Kong University of Science and Technology, International Digital Economy Academy,"Chinese University of Hong Kong, Shenzhen",Centre for Artificial Intelligence and Robotics,Tsinghua University,Peng Cheng Laboratory,,,,,,,,,,,,10.0,0.0
631,Learning Deep Generative Models for Queuing Systems,Technical University of Berlin,Karlsruhe University of Education,Fraunhofer Institute for Intelligent Analysis and Information Systems,Karlsruhe University of Education,Fraunhofer Institute for Intelligent Analysis and Information Systems,Karlsruhe University of Education,Fraunhofer Institute for Intelligent Analysis and Information Systems," Bayer AG, German",Karlsruhe University of Education,University of Bonn,,,,,,,,,,,,,5.0,0.0
632,Unsupervised 3D Learning for Shape Analysis via Multiresolution Instance Discrimination,Microsoft Research Asia (China),Microsoft Research Asia (China),Tsinghua University,Microsoft Research Asia (China),University of Science and Technology of China,Microsoft Research Asia (China),Microsoft Research Asia (China),Microsoft Research Asia (China),,,,,,,,,,,,,,,2.0,6.0
633,Deep Metric Learning with Self-Supervised Ranking,University of Science and Technology of China,University of Science and Technology Beijing,University of Science and Technology of China,University of Science and Technology of China,University of Science and Technology of China,,,,,,,,,,,,,,,,,,5.0,0.0
634,Multi-View Information-Bottleneck Representation Learning,Tianjin University,Tianjin University,Tianjin University of Science and Technology,Tianjin University,Tianjin University of Science and Technology,Tianjin University,Tianjin University of Science and Technology,,,,,,,,,,,,,,,,7.0,0.0
635,Learning Disentangled Representation for Fair Facial Attribute Classification via Fairness-aware Information Alignment,Yonsei University,Yonsei University,Yonsei University,Yonsei University,Yonsei University,,,,,,,,,,,,,,,,,,5.0,0.0
636,Going Deeper With Directly-Trained Larger Spiking Neural Networks,Tsinghua University,Tsinghua University,Tsinghua University,"University of California, Santa Barbara",Tsinghua University,Tsinghua University,Tsinghua University,,,,,,,,,,,,,,,,7.0,0.0
637,TRQ: Ternary Neural Networks With Residual Quantization,Beihang University,Beihang University,Beihang University,Beihang University,National Engineering Laboratory of Deep Learning Technology and Application,,,,,,,,,,,,,,,,,,5.0,0.0
638,Social-DPF: Socially Acceptable Distribution Prediction of Futures,The University of Tokyo,The University of Tokyo,The University of Tokyo,The University of Tokyo,The University of Tokyo,The University of Tokyo,The University of Tokyo,The University of Tokyo,,,,,,,,,,,,,,,8.0,0.0
639,Online Class-Incremental Continual Learning with Adversarial Shapley Value,University of Toronto,University of Toronto,University of Toronto,University of Toronto, LG AI Researc, LG AI Researc,,,,,,,,,,,,,,,,,4.0,0.0
640,Unsupervised Learning of Discourse Structures using a Tree Autoencoder,University of British Columbia,University of British Columbia,,,,,,,,,,,,,,,,,,,,,2.0,0.0
641,Efficient Bayesian Network Structure Learning via Parameterized Local Search on Topological Orderings,Philipps University of Marburg,Philipps University of Marburg,Philipps University of Marburg,,,,,,,,,,,,,,,,,,,,3.0,0.0
642,MetaAugment: Sample-Aware Data Augmentation Policy Learning,Huawei Noah's Ark La,Huawei Noah's Ark La,Huawei Noah's Ark La,Huawei Noah's Ark La,Huawei Noah's Ark La,Huawei Noah's Ark La,Huawei Noah's Ark La,,,,,,,,,,,,,,,,7.0,0.0
643,Dual Adversarial Graph Neural Networks for Multi-label Cross-modal Retrieval,Institute of Automation,University of Chinese Academy of Sciences,University of Chinese Academy of Sciences,Institute of Automation,University of Chinese Academy of Sciences,Institute of Automation,University of Chinese Academy of Sciences,Institute of Automation,University of Chinese Academy of Sciences,Peng Cheng Laboratory,,,,,,,,,,,,,10.0,0.0
644,Debiasing Evaluations That Are Biased by Evaluations,Warsaw School of Computer Science,Warsaw School of Computer Science,Carnegie Mellon University,Warsaw School of Computer Science,,,,,,,,,,,,,,,,,,,4.0,0.0
645,Learning Rewards from Linguistic Feedback,Princeton University,Princeton University,Princeton University,Princeton University,Princeton University,Princeton University,,,,,,,,,,,,,,,,,6.0,0.0
646,Policy-Guided Heuristic Search with Guarantees,DeepMind (United Kingdom),University of Alberta,,,,,,,,,,,,,,,,,,,,,1.0,1.0
647,Aligning Artificial Neural Networks and Ontologies towards Explainable AI,Universidade Nova de Lisboa,Universidade Nova de Lisboa,Universidade Nova de Lisboa,,,,,,,,,,,,,,,,,,,,3.0,0.0
648,SIMPLE: SIngle-network with Mimicking and Point Learning for Bottom-up Human Pose Estimation,Chinese Academy of Sciences,Tsinghua University,Tsinghua University," XForwardAI Technology Co.,Ltd, Beijing, Chin",Tsinghua University," XForwardAI Technology Co.,Ltd, Beijing, Chin",,,,,,,,,,,,,,,,,4.0,2.0
649,Deep Innovation Protection: Confronting the Credit Assignment Problem in Training Heterogeneous Neural Architectures,IT University of Copenhagen,Uber AI (United States),,,,,,,,,,,,,,,,,,,,,1.0,1.0
650,Optimising Automatic Calibration of Electric Muscle Stimulation,Monash University,University of Melbourne,,,,,,,,,,,,,,,,,,,,,2.0,0.0
651,Towards Semantics-Enhanced Pre-Training: Can Lexicon Definitions Help Learning Sentence Meanings?,Peking University,Peking University,Peking University,Peking University, Huawei Noah's Ark La,,,,,,,,,,,,,,,,,,4.0,0.0
652,Reinforcement Learning Based Multi-Agent Resilient Control: From Deep Neural Networks to an Adaptive Law,Zhejiang Sci-Tech University,Zhejiang Sci-Tech University,Boston University,University of Newcastle Australia,,,,,,,,,,,,,,,,,,,4.0,0.0
653,Bounded Risk-Sensitive Markov Games: Forward Policy Design and Inverse Reward Learning with Iterative Reasoning and Cumulative Prospect Theory,"University of California, Berkeley","University of California, Berkeley","University of California, Berkeley",,,,,,,,,,,,,,,,,,,,3.0,0.0
654,Multi-modal Graph Fusion for Named Entity Recognition with Targeted Visual Guidance,Soochow University,Southeast University,Soochow University,Southeast University,Soochow University,Soochow University,,,,,,,,,,,,,,,,,6.0,0.0
655,Knowledge-Enhanced Hierarchical Graph Transformer Network for Multi-Behavior Recommendation,South China University of Technology," JD Finance America Corporation, US",South China University of Technology," Communication and Computer Network Laboratory of Guangdong, Chin",Peng Cheng Laboratory," JD Finance America Corporation, US",South China University of Technology," JD Finance America Corporation, US",Simon Fraser University," JD Finance America Corporation, US",,,,,,,,,,,,,4.0,4.0
656,MLE-Guided Parameter Search for Task Loss Minimization in Neural Sequence Modeling,New York University,New York University,,,,,,,,,,,,,,,,,,,,,2.0,0.0
657,Adaptive Prior-Dependent Correction Enhanced Reinforcement Learning for Natural Language Generation,Jingdong (China),"University of California, San Diego",Chinese Academy of Sciences,,,,,,,,,,,,,,,,,,,,2.0,1.0
